,0
0,1000000000862add
1,1000000000eb7857
2,10000000011e44c9
3,1000000001b7dda6
4,1000000002b88c87
5,1000000002be265d
6,1000000003676bf1
7,10000000037c5199
8,1000000003a42eec
9,100000000414ba40
10,1000000004556abd
11,1000000004a31bc4
12,1000000004ae040a
13,1000000004dbe11b
14,1000000005ab8a1b
15,1000000006c62527
16,10000000079923aa
17,1000000007b9d667
18,1000000007d0bd77
19,1000000007d595e3
20,1000000009456e4f
21,1000000009cdd1f3
22,100000000a13a5a7
23,100000000a6eda6e
24,100000000ab5428e
25,100000000ad26e09
26,100000000bcb8481
27,100000000d743e66
28,100000000e70884b
29,100000000f9764ff
30,100000000ff48952
31,1000000010fdd184
32,10000000118e29bf
33,100000001191fd5d
34,1000000011929e0e
35,1000000011b6816c
36,1000000011d0f114
37,100000001285652f
38,1000000012c21fc0
39,1000000012c9ec30
40,1000000012ee8d06
41,100000001384452b
42,1000000014036095
43,100000001440076e
44,100000001467243c
45,10000000153c531f
46,1000000015a2205b
47,100000001668706c
48,1000000016cb6dc0
49,1000000016d4f202
50,1000000016e97e49
51,1000000016f0fca9
52,1000000018ea06d9
53,10000000192bd588
54,1000000019327ac7
55,1000000019ec0d94
56,100000001a361965
57,100000001a8c70c0
58,100000001b193c43
59,100000001d12782f
60,100000001edb2697
61,100000001f2c52ff
62,100000001f9c5d1e
63,100000001fbadd4b
64,10000000200fea15
65,10000000201b6986
66,10000000205b92d1
67,10000000205f94ab
68,1000000020b2a554
69,1000000020cb2924
70,1000000020f50b8d
71,1000000022701d04
72,1000000022769985
73,1000000022a46617
74,10000000237d6e03
75,100000002386b740
76,1000000023abd0cf
77,1000000023b635a4
78,1000000024386e3d
79,10000000256932dd
80,1000000026940853
81,100000002863375a
82,10000000287b7ee4
83,1000000028d48d94
84,10000000290f70de
85,1000000029bc0805
86,1000000029e919d8
87,100000002a2022bd
88,100000002a3df819
89,100000002a5fbc78
90,100000002a741bec
91,100000002ada8f46
92,100000002af7d049
93,100000002b694fb4
94,100000002b6d22ae
95,100000002c53695d
96,100000002c68c8e6
97,100000002cc960b2
98,100000002ce70c84
99,100000002d01aaa3
100,100000002d209f22
101,100000002daa4569
102,100000002e5fc83f
103,100000002e737cc0
104,100000002f304864
105,100000003046d823
106,10000000307d5d15
107,100000003095db16
108,1000000031672135
109,10000000329ce5ce
110,1000000032a1d5f1
111,10000000336b8149
112,10000000336d79f2
113,1000000033e50e30
114,1000000034bf2703
115,1000000034e61562
116,1000000034f10f7d
117,1000000035689137
118,100000003578709b
119,10000000360fd3ae
120,100000003611e8d4
121,1000000036803540
122,1000000036b725aa
123,10000000376d9e25
124,1000000037ceebc6
125,10000000382ffbce
126,1000000038cb9742
127,1000000038f12e07
128,10000000391f5111
129,10000000395dfe8e
130,1000000039fb05d6
131,100000003a04480f
132,100000003b665c0b
133,100000003bdde3c3
134,100000003bffdcb8
135,100000003c5ccef7
136,100000003cf2bf7c
137,100000003dcccdac
138,100000003e046977
139,100000003fd4731b
140,100000003ff9fda5
141,100000004030a9b9
142,1000000041038164
143,10000000413e07d0
144,1000000041e15143
145,10000000421fde08
146,10000000427d8233
147,1000000042bc06a4
148,1000000042e7a33e
149,10000000435ff351
150,1000000043797a6e
151,1000000043fe2320
152,10000000453d4012
153,10000000467e2bee
154,1000000046c4fb98
155,1000000046e25748
156,1000000047068e9e
157,10000000478ab7ee
158,1000000047fcce5e
159,100000004865a32d
160,10000000493020b4
161,10000000493f14e7
162,1000000049612ed5
163,1000000049b3fa85
164,1000000049c2bfc8
165,100000004a776d9f
166,100000004abffb85
167,100000004ae98964
168,100000004b07548f
169,100000004b4682b1
170,100000004cdd29e7
171,100000004cf01e94
