Serial number 112723017's Json reads: Device id: 10000000201b6986, Device Type: hub, S3 Entry #1
Serial number 112723017's Json reads: Device id: 10000000201b6986, Device Type: hub, S3 Entry #2
Serial number 101223011's Json reads: Device id: 10000000205b92d1, Device Type: hub, S3 Entry #1
Serial number 100223033's Json reads: Device id: 10000000205f94ab, Device Type: hub, S3 Entry #1
Serial number 100223042's Json reads: Device id: 1000000020b2a554, Device Type: hub, S3 Entry #1
Serial number 010124014's Json reads: Device id: 1000000020cb2924, Device Type: hub, S3 Entry #1
Serial number 111423026's Json reads: Device id: 1000000020f50b8d, Device Type: hub, S3 Entry #1
Serial number 100223046's Json reads: Device id: 1000000022701d04, Device Type: hub, S3 Entry #1
Serial number 100223003's Json reads: Device id: 1000000022769985, Device Type: hub, S3 Entry #1
Serial number 090123024's Json reads: Device id: 1000000022a46617, Device Type: hub, S3 Entry #1
Serial number 102023007's Json reads: Device id: 10000000237d6e03, Device Type: hub, S3 Entry #1
Serial number 102023007's Json reads: Device id: 10000000237d6e03, Device Type: hub, S3 Entry #2
Serial number 102023007's Json reads: Device id: 10000000237d6e03, Device Type: hub, S3 Entry #3
Serial number 022124030's Json reads: Device id: 100000002386b740, Device Type: hub, S3 Entry #1
Serial number 010124006's Json reads: Device id: 1000000023abd0cf, Device Type: hub, S3 Entry #1
Serial number 090123018's Json reads: Device id: 1000000023b635a4, Device Type: hub, S3 Entry #1
Serial number 102023007's Json reads: Device id: 1000000024386e3d, Device Type: hub, S3 Entry #4
Serial number 102023007's Json reads: Device id: 1000000024386e3d, Device Type: hub, S3 Entry #5
Serial number 102023007's Json reads: Device id: 1000000024386e3d, Device Type: hub, S3 Entry #6
Serial number 120723056's Json reads: Device id: 10000000256932dd, Device Type: hub, S3 Entry #1
Serial number 110923074's Json reads: Device id: 10000000287b7ee4, Device Type: hub, S3 Entry #1
Serial number 020924021's Json reads: Device id: 1000000028d48d94, Device Type: hub, S3 Entry #1
Serial number 020924020's Json reads: Device id: 10000000290f70de, Device Type: hub, S3 Entry #1
Serial number 101223027's Json reads: Device id: 1000000029bc0805, Device Type: hub, S3 Entry #1
Serial number 110923090's Json reads: Device id: 1000000029e919d8, Device Type: hub, S3 Entry #1
Serial number 022124042's Json reads: Device id: 100000002a2022bd, Device Type: hub, S3 Entry #1
Serial number 100223031's Json reads: Device id: 100000002a3df819, Device Type: hub, S3 Entry #1
Serial number 032024007's Json reads: Device id: 100000002a5fbc78, Device Type: hub, S3 Entry #1
Serial number 032024076's Json reads: Device id: 100000002a741bec, Device Type: hub, S3 Entry #1
Serial number 032024029's Json reads: Device id: 100000002ada8f46, Device Type: hub, S3 Entry #1
Serial number 020924033's Json reads: Device id: 100000002af7d049, Device Type: hub, S3 Entry #1
Serial number 110923097's Json reads: Device id: 100000002b694fb4, Device Type: hub, S3 Entry #1
