Device ID,Serial Number,Time Recorded
1000000000862add,090123001,2024-05-24 14:35:24
1000000000eb7857,110923018,2024-05-24 14:35:24
10000000011e44c9,020924013,2024-05-24 14:35:24
1000000001b7dda6,022124028,2024-05-24 14:35:24
1000000002b88c87,110923053,2024-05-24 14:35:24
1000000002be265d,110923026,2024-05-24 14:35:24
1000000003676bf1, 1031230012,2024-05-24 14:35:24
10000000037c5199,100223016,2024-05-24 14:35:25
1000000003a42eec,112723003,2024-05-24 14:35:25
100000000414ba40,110923001,2024-05-24 14:35:25
1000000004556abd,101223006,2024-05-24 14:35:25
1000000004a31bc4,081723001,2024-05-24 14:35:25
1000000004ae040a,081123006,2024-05-24 14:35:25
1000000004dbe11b,020924034,2024-05-24 14:35:26
1000000005ab8a1b,022124005,2024-05-24 14:35:26
1000000006c62527,010124026,2024-05-24 14:35:26
10000000079923aa,081123013,2024-05-24 14:35:26
1000000007b9d667,020924024,2024-05-24 14:35:26
1000000007d0bd77,081123014,2024-05-24 14:35:26
1000000007d595e3,101223022,2024-05-24 14:35:27
1000000009456e4f,020924046,2024-05-24 14:35:27
1000000009cdd1f3,010124030,2024-05-24 14:35:27
100000000a13a5a7,110923025,2024-05-24 14:35:27
100000000a6eda6e,020924011,2024-05-24 14:35:27
100000000ab5428e,081123001,2024-05-24 14:35:27
100000000ad26e09,112723023,2024-05-24 14:35:27
100000000bcb8481,110923004,2024-05-24 14:35:28
100000000d743e66, 1016230002,2024-05-24 14:35:28
100000000e70884b,110923017,2024-05-24 14:35:28
100000000f9764ff,120723005,2024-05-24 14:35:28
100000000ff48952,101223008,2024-05-24 14:35:28
1000000010fdd184,020924037,2024-05-24 14:35:28
10000000118e29bf,010124003,2024-05-24 14:35:29
100000001191fd5d,020924042,2024-05-24 14:35:29
1000000011929e0e,022124035,2024-05-24 14:35:29
1000000011b6816c,080423004,2024-05-24 14:35:29
1000000011d0f114,032024054,2024-05-24 14:35:29
100000001285652f,081123010,2024-05-24 14:35:29
1000000012c21fc0,090123011,2024-05-24 14:35:29
1000000012c9ec30,110923015,2024-05-24 14:35:30
1000000012ee8d06,020924039,2024-05-24 14:35:30
100000001384452b,081123016,2024-05-24 14:35:30
1000000014036095,100223013,2024-05-24 14:35:30
100000001440076e,110923022,2024-05-24 14:35:30
100000001467243c,110923051,2024-05-24 14:35:30
10000000153c531f,120723034,2024-05-24 14:35:30
1000000015a2205b,032024073,2024-05-24 14:35:31
100000001668706c,112723001,2024-05-24 14:35:31
1000000016cb6dc0,100223050,2024-05-24 14:35:31
1000000016d4f202,020924004,2024-05-24 14:35:31
1000000016e97e49,110923061,2024-05-24 14:35:31
1000000016f0fca9, 1017230010,2024-05-24 14:35:32
1000000018ea06d9, 1016230003,2024-05-24 14:35:32
10000000192bd588,100223043,2024-05-24 14:35:32
1000000019327ac7,022124029,2024-05-24 14:35:32
