,0
0,000000001cad49bf
1,0000000098733240
2,00000000c997195d
3,1000000000862add
4,1000000000eb7857
5,10000000011e44c9
6,1000000001b7dda6
7,100000000247c9f0
8,1000000002b88c87
9,1000000002be265d
10,10000000033896e0
11,1000000003676bf1
12,10000000037c5199
13,1000000003a42eec
14,100000000414ba40
15,1000000004556abd
16,1000000004a31bc4
17,1000000004ae040a
18,1000000004dbe11b
19,1000000005ab8a1b
20,1000000006c62527
21,10000000079923aa
22,1000000007b9d667
23,1000000007d0bd77
24,1000000007d595e3
25,1000000009456e4f
26,1000000009cdd1f3
27,100000000a13a5a7
28,100000000a6eda6e
29,100000000ab5428e
30,100000000ad26e09
31,100000000bcb8481
32,100000000d743e66
33,100000000da1c71c
34,100000000e70884b
35,100000000f9764ff
36,100000000ff48952
37,1000000010fdd184
38,10000000114d5cf2
39,10000000118e29bf
40,100000001191fd5d
41,1000000011929e0e
42,1000000011b6816c
43,1000000011d0f114
44,100000001285652f
45,1000000012c21fc0
46,1000000012c9ec30
47,1000000012ee8d06
48,100000001384452b
49,1000000014036095
50,100000001440076e
51,100000001467243c
52,10000000152a00f3
53,10000000153c531f
54,1000000015a2205b
55,100000001668706c
56,1000000016861cc7
57,1000000016cb6dc0
58,1000000016d4f202
59,1000000016e97e49
60,1000000016f0fca9
61,1000000018ea06d9
62,10000000192bd588
63,1000000019327ac7
64,1000000019ec0d94
65,100000001a361965
66,100000001a8c70c0
67,100000001a9c603a
68,100000001b193c43
69,100000001d12782f
70,100000001de9654f
71,100000001edb2697
72,100000001f2c52ff
73,100000001f5ac62b
74,100000001f9c5d1e
75,100000001fbadd4b
76,10000000200fea15
77,10000000201b6986
78,10000000205b92d1
79,10000000205f94ab
80,1000000020b2a554
81,1000000020cb2924
82,1000000020cddc39
83,1000000020f50b8d
84,1000000022701d04
85,1000000022769985
86,1000000022a46617
87,10000000232852c1
88,10000000237d6e03
89,100000002386b740
90,1000000023abd0cf
91,1000000023b635a4
92,1000000024386e3d
93,10000000256932dd
94,1000000026940853
95,10000000276507fc
96,100000002863375a
97,10000000287b7ee4
98,1000000028d48d94
99,10000000290f70de
100,1000000029bc0805
101,1000000029e919d8
102,100000002a2022bd
103,100000002a3df819
104,100000002a5fbc78
105,100000002a741bec
106,100000002ada8f46
107,100000002af7d049
108,100000002b694fb4
109,100000002b6d22ae
110,100000002c53695d
111,100000002c68c8e6
112,100000002cc960b2
113,100000002ce70c84
114,100000002d01aaa3
115,100000002d209f22
116,100000002daa4569
117,100000002e5fc83f
